iteration,timestamp,max_observation_range_m,gng_min_observations_to_commit,box_threshold,text_threshold,target_label_thresholds_trailer,label_margin_min,cross_label_merge_distance_m,tp,fp,fn,precision,recall,f1,object_nodes,range_gate_rejections,constraint_met,result_json,notes
1,2026-05-06T11:54:08.591433,5.0,2,0.35,0.35,1.5,0.05,0.45,7,46,12,0.1320754716981132,0.3684210526315789,0.19444444444444445,53,641,True,/home/anhar/codes/stcm-assistive-nav/results/eval/20260506_204412_outdoor_livinglab_full-nyu-proposals.json,phase1 baseline R=5 G=2 (current best)
2,2026-05-06T12:04:01.801928,3.0,2,0.35,0.35,1.5,0.05,0.45,6,18,13,0.25,0.3157894736842105,0.27906976744186046,24,945,True,/home/anhar/codes/stcm-assistive-nav/results/eval/20260506_205408_outdoor_livinglab_full-nyu-proposals.json,phase1 R=3 tighter range
3,2026-05-06T12:13:54.789752,4.0,2,0.35,0.35,1.5,0.05,0.45,7,33,12,0.175,0.3684210526315789,0.23728813559322032,40,761,True,/home/anhar/codes/stcm-assistive-nav/results/eval/20260506_210402_outdoor_livinglab_full-nyu-proposals.json,phase1 R=4
4,2026-05-06T12:23:50.525661,7.0,2,0.35,0.35,1.5,0.05,0.45,7,52,12,0.11864406779661017,0.3684210526315789,0.1794871794871795,59,467,True,/home/anhar/codes/stcm-assistive-nav/results/eval/20260506_211355_outdoor_livinglab_full-nyu-proposals.json,phase1 R=7
5,2026-05-06T12:33:55.553588,10.0,2,0.35,0.35,1.5,0.05,0.45,7,67,12,0.0945945945945946,0.3684210526315789,0.15053763440860216,74,306,True,/home/anhar/codes/stcm-assistive-nav/results/eval/20260506_212350_outdoor_livinglab_full-nyu-proposals.json,phase1 R=10 wide range
6,2026-05-06T12:43:53.928044,5.0,1,0.35,0.35,1.5,0.05,0.45,10,84,9,0.10638297872340426,0.5263157894736842,0.17699115044247787,94,641,True,/home/anhar/codes/stcm-assistive-nav/results/eval/20260506_213355_outdoor_livinglab_full-nyu-proposals.json,phase1 G=1 high recall
7,2026-05-06T12:53:53.495599,5.0,3,0.35,0.35,1.5,0.05,0.45,6,27,13,0.18181818181818182,0.3157894736842105,0.23076923076923078,33,641,True,/home/anhar/codes/stcm-assistive-nav/results/eval/20260506_214354_outdoor_livinglab_full-nyu-proposals.json,phase1 G=3 high precision
8,2026-05-06T13:03:49.645918,4.0,3,0.35,0.35,1.5,0.05,0.45,5,19,14,0.20833333333333334,0.2631578947368421,0.23255813953488372,24,761,True,/home/anhar/codes/stcm-assistive-nav/results/eval/20260506_215353_outdoor_livinglab_full-nyu-proposals.json,phase1 R=4 G=3 corner
9,2026-05-06T21:04:10.692096,2.0,2,0.35,0.35,1.5,0.05,0.45,2,5,17,0.2857142857142857,0.10526315789473684,0.15384615384615385,7,1082,True,/home/anhar/codes/stcm-assistive-nav/results/eval/20260507_055443_outdoor_livinglab_full-nyu-proposals.json,phase2 R=2 boundary expand
10,2026-05-06T21:13:51.657008,3.0,2,0.25,0.25,1.5,0.05,0.45,6,17,13,0.2608695652173913,0.3157894736842105,0.28571428571428575,23,945,True,/home/anhar/codes/stcm-assistive-nav/results/eval/20260507_060410_outdoor_livinglab_full-nyu-proposals.json,phase2 box=0.25 lower
