image,mode,class,alias,prompt_text,threshold_box,threshold_text,n_detections,max_score,first_box_x1y1x2y2,hit
frame_0000.png,production,meeting table set,ALL_GROUP,meeting table. conference table. table with chairs. meeting table set.,0.32,0.32,6,0.3442,"[109.5969467163086, 833.9746704101562, 881.4554443359375, 1073.4737548828125]",1
frame_0000.png,production,chair,ALL_GROUP,chair. chairs. armless chair.,0.36,0.36,4,0.447,"[117.87870788574219, 876.939697265625, 239.135986328125, 1030.522705078125]",1
frame_0000.png,production,bench,ALL_GROUP,bench. metal bench. waiting bench.,0.34,0.34,1,0.4679,"[1364.945556640625, 837.6475830078125, 1530.9942626953125, 1083.038818359375]",1
frame_0000.png,production,cardboard box+plant pot+shoes,ALL_GROUP,cardboard box. brown cardboard box. cardboard package. plant pot. potted plant. flower pot. indoor plant pot. shoes. pair of shoes. footwear. black shoes.,0.3,0.3,0,0.0,,0
frame_0000.png,production,trash bin+vacuum cleaner,ALL_GROUP,trash bin. trash can. waste bin. recycling bin. row of trash bins. vacuum cleaner. upright vacuum cleaner. cordless vacuum. floor cleaner.,0.25,0.25,0,0.0,,0
frame_0000.png,production,large power bank,ALL_GROUP,large power bank. portable power station. battery pack. power bank.,0.28,0.28,0,0.0,,0
frame_0000.png,production,door,ALL_GROUP,door. doors. dark door. elevator sliding door. sliding door.,0.26,0.26,3,0.2836,"[1029.943603515625, 805.8443603515625, 1221.8336181640625, 981.5215454101562]",1
frame_0000.png,production,electric vehicle,ALL_GROUP,electric vehicle. small electric vehicle. mobility scooter. scooter.,0.28,0.28,0,0.0,,0
frame_0000.png,extras,bench,bench,bench.,0.2,0.2,3,0.2698,"[2260.41650390625, 1675.3907470703125, 2878.688232421875, 1856.3070068359375]",1
frame_0000.png,extras,bench,metal bench,metal bench.,0.2,0.2,1,0.5248,"[1363.6204833984375, 836.817626953125, 1532.2657470703125, 1082.2362060546875]",1
frame_0000.png,extras,bench,waiting bench,waiting bench.,0.2,0.2,2,0.4086,"[1364.373779296875, 837.4673461914062, 1531.6246337890625, 1082.259033203125]",1
frame_0000.png,extras,bench,long bench,long bench.,0.2,0.2,5,0.3532,"[2263.4296875, 1672.36767578125, 2878.18359375, 1853.7928466796875]",1
frame_0000.png,extras,bench,indoor bench,indoor bench.,0.2,0.2,4,0.3409,"[1366.6551513671875, 838.8377075195312, 1529.708740234375, 1078.7774658203125]",1
frame_0000.png,extras,cardboard box,cardboard box,cardboard box.,0.2,0.2,0,0.0,,0
frame_0000.png,extras,cardboard box,brown cardboard box,brown cardboard box.,0.2,0.2,2,0.3737,"[1535.5599365234375, 5.885193824768066, 2603.86572265625, 1244.552490234375]",1
frame_0000.png,extras,cardboard box,shipping box,shipping box.,0.2,0.2,0,0.0,,0
frame_0000.png,extras,cardboard box,package box,package box.,0.2,0.2,0,0.0,,0
frame_0000.png,extras,cardboard box,stacked box,stacked box.,0.2,0.2,0,0.0,,0
frame_0000.png,extras,cardboard box,box,box.,0.2,0.2,0,0.0,,0
frame_0000.png,extras,chair,chair,chair.,0.2,0.2,12,0.5353,"[1365.8455810546875, 839.8743896484375, 1529.2301025390625, 1079.328857421875]",1
frame_0000.png,extras,chair,armless chair,armless chair.,0.2,0.2,5,0.3466,"[1361.8223876953125, 836.5686645507812, 1532.67333984375, 1083.12841796875]",1
frame_0000.png,extras,chair,office chair,office chair.,0.2,0.2,20,0.6518,"[1365.40869140625, 838.6994018554688, 1530.6842041015625, 1081.1832275390625]",1
frame_0000.png,extras,chair,swivel chair,swivel chair.,0.2,0.2,4,0.3437,"[479.9738464355469, 853.3142700195312, 614.0826416015625, 1062.0311279296875]",1
frame_0000.png,extras,chair,rolling chair,rolling chair.,0.2,0.2,12,0.5226,"[1364.0206298828125, 837.621826171875, 1531.2918701171875, 1082.875]",1
frame_0000.png,extras,chair,stool chair,stool chair.,0.2,0.2,23,0.5836,"[120.52822875976562, 878.6798095703125, 236.86012268066406, 1028.8082275390625]",1
frame_0000.png,extras,door,door,door.,0.2,0.2,8,0.2601,"[2520.258544921875, 382.84039306640625, 2701.63623046875, 1130.626708984375]",1
frame_0000.png,extras,door,dark door surface,dark door surface.,0.2,0.2,3,0.3814,"[2442.144287109375, 146.04864501953125, 2716.783447265625, 1136.661865234375]",1
frame_0000.png,extras,door,wooden door,wooden door.,0.2,0.2,5,0.2693,"[36.1222038269043, 555.6952514648438, 163.48439025878906, 1034.6082763671875]",1
frame_0000.png,extras,door,closed door,closed door.,0.2,0.2,6,0.2889,"[2517.20458984375, 379.7202453613281, 2704.703369140625, 1132.502197265625]",1
frame_0000.png,extras,door,interior door,interior door.,0.2,0.2,12,0.311,"[37.300106048583984, 555.7679443359375, 162.57476806640625, 1034.98193359375]",1
