image,mode,class,alias,prompt_text,threshold_box,threshold_text,n_detections,max_score,first_box_x1y1x2y2,hit
frame_0000.png,production,meeting table set,ALL_GROUP,meeting table. conference table. meeting table set.,0.35,0.35,1,0.5598,"[445.8662109375, 849.0446166992188, 1149.7861328125, 1080.5390625]",1
frame_0000.png,production,chair,ALL_GROUP,chair. armless chair.,0.42,0.42,5,0.4467,"[586.7710571289062, 862.8809814453125, 717.47900390625, 1070.7437744140625]",1
frame_0000.png,production,bench,ALL_GROUP,bench. benches. metal bench. metallic bench. waiting bench.,0.38,0.38,0,0.0,,0
frame_0000.png,production,bottle+cup+cardboard box,ALL_GROUP,bottle. dark thermos. thermos. dark thermos bottle. cup. cups. white drinking cup. white drinking cups. cardboard box. brown cardboard. brown cardboard box.,0.28,0.28,1,0.297,"[1608.6888427734375, 981.8452758789062, 1706.28759765625, 1047.3145751953125]",1
frame_0000.png,production,water fountain+door,ALL_GROUP,water fountain. metallic fountain. metallic water fountain. door. doors. dark door. dark door surface. elevator sliding door. elevator sliding doors.,0.38,0.38,0,0.0,,0
frame_0000.png,production,emergency exit sign,ALL_GROUP,emergency exit sign. exit sign.,0.5,0.5,0,0.0,,0
frame_0000.png,production,trash bin,ALL_GROUP,trash bin. trash bins. indoor trash bin.,0.45,0.45,0,0.0,,0
frame_0000.png,extras,bench,bench,bench.,0.2,0.2,3,0.218,"[2.1984457969665527, 1753.79443359375, 433.2171936035156, 1857.020751953125]",1
frame_0000.png,extras,bench,metal bench,metal bench.,0.2,0.2,4,0.2712,"[3.1611227989196777, 1748.824462890625, 441.1364440917969, 1854.5765380859375]",1
frame_0000.png,extras,bench,waiting bench,waiting bench.,0.2,0.2,2,0.3389,"[1.8078088760375977, 1750.632568359375, 439.34771728515625, 1855.1025390625]",1
frame_0000.png,extras,bench,sitting bench,sitting bench.,0.2,0.2,5,0.3116,"[2.6162266731262207, 1751.1873779296875, 435.86077880859375, 1855.938232421875]",1
frame_0000.png,extras,bench,long bench,long bench.,0.2,0.2,4,0.3507,"[2.6598286628723145, 1750.151123046875, 440.947265625, 1854.76513671875]",1
frame_0000.png,extras,bottle,bottle,bottle.,0.18,0.18,1,0.5488,"[1086.0970458984375, 859.6316528320312, 1102.756103515625, 896.6963500976562]",1
frame_0000.png,extras,bottle,dark thermos bottle,dark thermos bottle.,0.18,0.18,2,0.2953,"[1081.9071044921875, 853.5862426757812, 1107.507568359375, 901.3424682617188]",1
frame_0000.png,extras,bottle,thermos bottle,thermos bottle.,0.18,0.18,1,0.3293,"[1083.6190185546875, 856.52685546875, 1105.6043701171875, 900.4791259765625]",1
frame_0000.png,extras,bottle,water bottle,water bottle.,0.18,0.18,1,0.4274,"[1083.589111328125, 857.0677490234375, 1105.0755615234375, 900.1151733398438]",1
frame_0000.png,extras,bottle,drink bottle,drink bottle.,0.18,0.18,1,0.2841,"[1084.6488037109375, 857.5772705078125, 1104.7178955078125, 899.42138671875]",1
frame_0000.png,extras,bottle,small bottle,small bottle.,0.18,0.18,2,0.548,"[1082.0391845703125, 854.8942260742188, 1107.1456298828125, 901.2982177734375]",1
frame_0000.png,extras,cardboard box,cardboard box,cardboard box.,0.2,0.2,1,0.5226,"[1610.627685546875, 984.7080688476562, 1703.96923828125, 1044.8944091796875]",1
frame_0000.png,extras,cardboard box,brown cardboard box,brown cardboard box.,0.2,0.2,2,0.5867,"[1608.3890380859375, 981.808837890625, 1705.887451171875, 1046.9957275390625]",1
frame_0000.png,extras,cardboard box,shipping box,shipping box.,0.2,0.2,2,0.4337,"[1611.253173828125, 985.994873046875, 1703.47509765625, 1043.8087158203125]",1
frame_0000.png,extras,cardboard box,package box,package box.,0.2,0.2,1,0.2439,"[1611.4425048828125, 985.3600463867188, 1703.6865234375, 1043.99658203125]",1
frame_0000.png,extras,cardboard box,small box,small box.,0.2,0.2,1,0.6766,"[1609.7576904296875, 983.3440551757812, 1705.4005126953125, 1045.9010009765625]",1
frame_0000.png,extras,cardboard box,box,box.,0.2,0.2,1,0.442,"[1612.0941162109375, 987.182861328125, 1702.763916015625, 1042.220458984375]",1
frame_0000.png,extras,chair,chair,chair.,0.2,0.2,8,0.2604,"[453.0877685546875, 895.1843872070312, 568.6609497070312, 1027.9541015625]",1
frame_0000.png,extras,chair,armless chair,armless chair.,0.2,0.2,7,0.4273,"[586.4284057617188, 861.4732666015625, 719.2674560546875, 1071.12353515625]",1
frame_0000.png,extras,chair,office chair,office chair.,0.2,0.2,13,0.4171,"[587.9208374023438, 863.4133911132812, 720.9202880859375, 1069.759033203125]",1
frame_0000.png,extras,chair,wheeled chair,wheeled chair.,0.2,0.2,8,0.4858,"[587.2579956054688, 862.5307006835938, 718.6659545898438, 1069.8233642578125]",1
frame_0000.png,extras,chair,swivel chair,swivel chair.,0.2,0.2,6,0.3953,"[586.3594360351562, 861.0922241210938, 717.7174682617188, 1071.567626953125]",1
frame_0000.png,extras,chair,rolling chair,rolling chair.,0.2,0.2,8,0.4337,"[587.4467163085938, 862.2239379882812, 718.290771484375, 1070.17724609375]",1
frame_0000.png,extras,cup,cup,cup.,0.18,0.18,1,0.3409,"[1086.9674072265625, 861.2559814453125, 1102.78564453125, 895.9700317382812]",1
frame_0000.png,extras,cup,white drinking cup,white drinking cup.,0.18,0.18,2,0.4207,"[1078.294677734375, 852.1055297851562, 1110.4466552734375, 902.881591796875]",1
frame_0000.png,extras,cup,drinking cup,drinking cup.,0.18,0.18,0,0.0,,0
frame_0000.png,extras,cup,coffee cup,coffee cup.,0.18,0.18,0,0.0,,0
frame_0000.png,extras,cup,paper cup,paper cup.,0.18,0.18,0,0.0,,0
frame_0000.png,extras,cup,small cup,small cup.,0.18,0.18,2,0.3281,"[1081.7369384765625, 854.9014282226562, 1108.51806640625, 900.0272216796875]",1
frame_0000.png,extras,door,door,door.,0.2,0.2,10,0.292,"[229.944580078125, 601.4451904296875, 339.32952880859375, 1035.9232177734375]",1
frame_0000.png,extras,door,dark door surface,dark door surface.,0.2,0.2,4,0.3232,"[1551.97607421875, 490.3587341308594, 1700.7930908203125, 1002.4730834960938]",1
frame_0000.png,extras,door,wooden door,wooden door.,0.2,0.2,6,0.3625,"[225.8702850341797, 601.501708984375, 339.95806884765625, 1037.520751953125]",1
frame_0000.png,extras,door,closed door,closed door.,0.2,0.2,5,0.3576,"[224.4730682373047, 601.5433349609375, 339.71441650390625, 1038.4754638671875]",1
frame_0000.png,extras,door,interior door,interior door.,0.2,0.2,11,0.3418,"[226.3830108642578, 599.737060546875, 338.7355651855469, 1037.10546875]",1
frame_0000.png,extras,door,single door,single door.,0.2,0.2,6,0.3661,"[223.89169311523438, 599.8079223632812, 340.3670959472656, 1038.9697265625]",1
frame_0000.png,extras,emergency exit sign,emergency exit sign,emergency exit sign.,0.18,0.18,4,0.2648,"[2763.83251953125, 341.4727478027344, 2855.7646484375, 447.1310729980469]",1
frame_0000.png,extras,emergency exit sign,exit sign,exit sign.,0.18,0.18,1,0.2142,"[2764.773193359375, 341.4715270996094, 2855.482421875, 445.3767395019531]",1
frame_0000.png,extras,emergency exit sign,green emergency exit sign,green emergency exit sign.,0.18,0.18,6,0.2894,"[1404.0281982421875, 888.2354125976562, 1445.7218017578125, 922.9454345703125]",1
frame_0000.png,extras,emergency exit sign,green exit sign,green exit sign.,0.18,0.18,4,0.3251,"[1403.3934326171875, 888.2066040039062, 1445.7066650390625, 923.4876708984375]",1
frame_0000.png,extras,emergency exit sign,running man exit sign,running man exit sign.,0.18,0.18,3,0.4444,"[1154.483154296875, 1648.1885986328125, 1711.474365234375, 1852.785888671875]",1
frame_0000.png,extras,emergency exit sign,fire exit sign,fire exit sign.,0.18,0.18,0,0.0,,0
frame_0000.png,extras,emergency exit sign,evacuation sign,evacuation sign.,0.18,0.18,1,0.1933,"[2724.553466796875, 305.44256591796875, 2876.24462890625, 475.09466552734375]",1
