image,mode,class,alias,prompt_text,threshold_box,threshold_text,n_detections,max_score,first_box_x1y1x2y2,hit
frame_0000.png,production,trailer,ALL_GROUP,trailer. cargo trailer. vehicle trailer. wheeled trailer. flatbed trailer. black trailer. utility trailer.,0.2,0.2,4,0.3133,"[1.5876424312591553, 623.7214965820312, 293.72674560546875, 989.9902954101562]",1
frame_0000.png,production,electric utility vehicle+electric wheelchair+electric scooter+trolley,ALL_GROUP,electric utility vehicle. small electric cart. utility vehicle. golf cart. electric cart. small white utility vehicle. electric wheelchair. motorized wheelchair. power wheelchair. mobility scooter wheelchair. electric scooter. mobility scooter. stand-up scooter. kick scooter. scooter. trolley. hand cart. hand truck. luggage cart. flatbed cart. push cart. utility cart.,0.22,0.22,1,0.2555,"[0.8561825752258301, 622.156494140625, 297.0338134765625, 992.5184326171875]",1
frame_0000.png,production,pair of ramps,ALL_GROUP,pair of ramps. loading ramp. metal ramp. vehicle loading ramp. two metal ramps. aluminum ramp.,0.2,0.2,5,0.4034,"[256.7976379394531, 813.1283569335938, 498.6753234863281, 984.3451538085938]",1
frame_0000.png,production,portable power station+basketball,ALL_GROUP,portable power station. large power bank. battery box. power generator box. portable battery. power station. basketball. orange basketball. sports ball. rubber ball.,0.22,0.22,0,0.0,,0
frame_0000.png,production,rectangular table+umbrella,ALL_GROUP,rectangular table. outdoor table. picnic table. long rectangular table. folding table. work table. umbrella. outdoor umbrella. parasol. patio umbrella. hand umbrella.,0.24,0.24,0,0.0,,0
frame_0000.png,production,cardboard box,ALL_GROUP,cardboard box. brown cardboard box. cardboard package. shipping box.,0.26,0.26,2,0.3582,"[2514.447509765625, 985.5581665039062, 2695.593505859375, 1183.790771484375]",1
frame_0000.png,production,chair,ALL_GROUP,chair. folding chair. outdoor chair. plastic chair. armless chair.,0.3,0.3,0,0.0,,0
frame_0000.png,production,traffic cone+prohibition sign,ALL_GROUP,traffic cone. road cone. safety cone. orange cone. construction cone. prohibition sign. no entry sign. red prohibition sign. do not enter sign. stop sign. red circular sign.,0.22,0.22,1,0.224,"[90.28384399414062, 758.202392578125, 268.8036804199219, 875.258056640625]",1
frame_0000.png,extras,basketball,basketball,basketball.,0.18,0.18,0,0.0,,0
frame_0000.png,extras,basketball,orange basketball,orange basketball.,0.18,0.18,0,0.0,,0
