image,mode,class,alias,prompt_text,threshold_box,threshold_text,n_detections,max_score,first_box_x1y1x2y2,hit
frame_0000.png,production,trailer,ALL_GROUP,utility trailer. open trailer. vehicle trailer. covered trailer.,0.18,0.18,7,0.3464,"[1.5870630741119385, 625.0818481445312, 294.8757019042969, 989.4237670898438]",1
frame_0000.png,production,electric utility vehicle+electric wheelchair+electric scooter,ALL_GROUP,electric utility vehicle. small electric cart. golf cart. white utility vehicle. powered mobility scooter. motorized wheelchair. mobility chair. electric wheelchair. two-wheeled scooter. stand-up scooter. electric kick scooter. kick scooter.,0.2,0.2,5,0.4277,"[255.4156036376953, 813.6788330078125, 498.4117126464844, 984.4366455078125]",1
frame_0000.png,production,trolley,ALL_GROUP,trolley. hand cart. utility cart. push cart.,0.22,0.22,0,0.0,,0
frame_0000.png,production,pair of ramps+basketball,ALL_GROUP,metal ramps on ground. two metal ramps. pair of ramps. vehicle loading ramp. round orange ball. rubber ball on ground. sports ball. basketball.,0.18,0.18,15,0.4721,"[1146.7415771484375, 1647.63037109375, 1695.9222412109375, 1851.4898681640625]",1
frame_0000.png,production,portable power station+umbrella,ALL_GROUP,portable power station. large power bank. battery box. power generator box. folded umbrella. open umbrella. shade umbrella. umbrella.,0.2,0.2,0,0.0,,0
frame_0000.png,production,rectangular table,ALL_GROUP,rectangular table. outdoor table. picnic table. folding table.,0.24,0.24,1,0.2688,"[817.8418579101562, 965.9842529296875, 929.3626708984375, 1004.9063720703125]",1
frame_0000.png,production,cardboard box,ALL_GROUP,cardboard box. brown cardboard box. shipping box.,0.26,0.26,3,0.3996,"[2514.485107421875, 985.6062622070312, 2695.377685546875, 1183.694580078125]",1
frame_0000.png,production,chair,ALL_GROUP,chair. folding chair. outdoor chair. plastic chair.,0.3,0.3,0,0.0,,0
frame_0000.png,production,traffic cone,ALL_GROUP,traffic cone. road cone. safety cone. orange cone.,0.22,0.22,0,0.0,,0
frame_0000.png,production,prohibition sign,ALL_GROUP,red sign on ground. red circular sign. prohibition sign. red prohibition sign.,0.2,0.2,5,0.3483,"[1146.2860107421875, 1648.163818359375, 1697.3614501953125, 1852.275146484375]",1
frame_0000.png,extras,cardboard_box,cardboard box,cardboard box.,0.2,0.2,3,0.367,"[2515.540771484375, 987.8855590820312, 2695.315185546875, 1183.6744384765625]",1
frame_0000.png,extras,cardboard_box,brown cardboard box,brown cardboard box.,0.2,0.2,3,0.387,"[2512.451416015625, 982.2987060546875, 2875.014892578125, 1218.6552734375]",1
frame_0000.png,extras,cardboard_box,shipping box,shipping box.,0.2,0.2,3,0.4308,"[260.14947509765625, 817.8695068359375, 493.7498779296875, 980.7703247070312]",1
frame_0000.png,extras,cardboard_box,small box,small box.,0.2,0.2,3,0.3321,"[259.6859130859375, 816.3311157226562, 494.3509521484375, 978.1395263671875]",1
frame_0000.png,extras,cardboard_box,package box,package box.,0.2,0.2,0,0.0,,0
frame_0000.png,extras,cardboard_box,stacked box,stacked box.,0.2,0.2,5,0.3318,"[1.9022870063781738, 623.9852294921875, 294.94403076171875, 977.7957153320312]",1
frame_0000.png,extras,cardboard_box,outdoor cardboard box,outdoor cardboard box.,0.2,0.2,4,0.3452,"[259.083740234375, 815.9190063476562, 495.7406005859375, 979.8707885742188]",1
frame_0000.png,extras,chair,chair,chair.,0.2,0.2,3,0.2371,"[296.543701171875, 932.7853393554688, 326.9633483886719, 988.8728637695312]",1
frame_0000.png,extras,chair,armless chair,armless chair.,0.2,0.2,4,0.3327,"[815.1842651367188, 914.737548828125, 934.7359619140625, 1007.3995971679688]",1
